ticket_id,description,category,priority,created_date
INC0001156,Network outage affecting router,Network,Medium,2025-07-12
INC0003980,Database query timeout on MySQL database,Database,Medium,2025-07-12
INC0003546,VPN connectivity issue - timeout,Network,Medium,2025-07-12
INC0000818,Microsoft Office software crashes when exporting,Software,High,2025-07-12
INC0004495,Database query timeout on inventory DB database,Database,Low,2025-07-12
INC0003048,Application Chrome browser not working after software update (affecting multiple users),Software,Low,2025-07-12
INC0004015,system not working. Error: connection refused,Database,Critical,2025-07-12
INC0002534,Security alert: breach detected on corporate email,Security,Medium,2025-07-12
INC0001099,Security vulnerability detected in admin portal,Security,Medium,2025-07-12
INC0004605,Database connection pool exhausted for MySQL,Database,Low,2025-07-12
INC0001476,Network outage affecting WiFi,Network,Low,2025-07-12
INC0001253,Cannot install Outlook application. Error: 0x80004005,Software,Medium,2025-07-12
INC0000425,Cannot connect to customer DB database server. connection refused,Database,Critical,2025-07-12
INC0000939,unauthorized access attempt to active directory - security breach,Security,High,2025-07-12
INC0003831,service malfunctioning. Error: 0x80004005,Network,High,2025-07-12
INC0002372,keyboard hardware malfunction - making unusual noise,Hardware,High,2025-07-12
INC0003204,Security alert: breach detected on security system,Security,High,2025-07-12
INC0003667,Physical issue with mouse - not working,Hardware,Low,2025-07-12
INC0003362,webcam not detected by system,Hardware,High,2025-07-12
INC0002929,Cannot reset password for Active Directory. Authentication 500,Security,Medium,2025-07-12
INC0002629,Unauthorized access attempt to Active Directory - security breach,Security,Low,2025-07-12
INC0001003,Outlook software crashes when exporting,Software,Critical,2025-07-12
INC0002136,Unable to access proxy server. Network timeout after 120 seconds,Network,Low,2025-07-12
INC0002340,Database corruption in customer DB table,Database,Low,2025-07-12
INC0000180,Database query timeout on inventory DB database,Database,Low,2025-07-12
INC0002612,printer not detected by system,Hardware,Low,2025-07-12
INC0003401,system very slow. Error: timeout. Please help - URGENT,Network,High,2025-07-12
INC0002299,Security alert: certificate expired on Active Directory,Security,Medium,2025-07-12
INC0000199,Permission denied accessing security system - security restriction,Security,High,2025-07-12
INC0001955,inventory db database backup unresponsive. error: 0x80004005 - URGENT,Database,Low,2025-07-12
INC0002496,router connectivity issue - connection refused,Network,High,2025-07-12
INC0004755,Database corruption in MySQL table,Database,Critical,2025-07-12
INC0000481,Network outage affecting firewall,Network,Medium,2025-07-12
INC0002417,webcam not detected by system,Hardware,Critical,2025-07-12
INC0004453,Application Teams very slow after software update,Software,Medium,2025-07-12
INC0002875,Database corruption in MySQL table,Database,Medium,2025-07-12
INC0002163,Slack software license keeps failing,Software,Low,2025-07-12
INC0002292,Physical issue with webcam - very slow - high priority,Hardware,Medium,2025-07-12
INC0001431,VPN connectivity issue - connection refused,Network,Low,2025-07-12
INC0003668,service not working. Error: 500. Please help,Software,Low,2025-07-12
INC0000549,Unauthorized access attempt to Active Directory - security breach,Security,Medium,2025-07-12
INC0001640,Database query timeout on MySQL database,Database,Medium,2025-07-12
INC0004336,Network connection to firewall is very slow,Network,Medium,2025-07-12
INC0004894,Unauthorized access attempt to admin portal - security breach,Security,High,2025-07-12
INC0002855,Cannot connect to reporting database database server. 0x80004005 - high priority,Database,High,2025-07-12
INC0000613,Slack software crashes when running reports,Software,Medium,2025-07-12
INC0001821,Cannot connect to DNS server. Getting null pointer error,Network,High,2025-07-12
INC0004406,Network connection to VPN is not working - URGENT,Network,Medium,2025-07-12
INC0001623,Cannot install Microsoft Office application. Error: 500,Software,Critical,2025-07-12
INC0004558,Software error in Adobe Reader: 404,Software,Low,2025-07-12
INC0001241,Unable to access DNS server. Network timeout after 30 seconds,Network,Critical,2025-07-12
INC0001911,Network connection to VPN is malfunctioning,Network,High,2025-07-12
INC0000937,webcam not detected by system,Hardware,Medium,2025-07-12
INC0000013,Application Teams malfunctioning after software update,Software,Critical,2025-07-12
INC0003619,Account locked for security system. Security policy violation,Security,High,2025-07-12
INC0001067,laptop is very slow. Hardware failure error: 0x80004005,Hardware,Medium,2025-07-12
INC0000418,adobe reader software performance is malfunctioning,Software,Medium,2025-07-12
INC0000154,Unauthorized access attempt to Active Directory - security breach,Security,High,2025-07-12
INC0004183,Outlook software performance is malfunctioning,Software,Low,2025-07-12
INC0002649,Permission denied accessing corporate email - security restriction,Security,Low,2025-07-12
INC0004971,Network connection to firewall is unresponsive,Network,Low,2025-07-12
INC0000135,Slow database query performance on Oracle,Database,High,2025-07-12
INC0004892,Physical issue with mouse - not working,Hardware,Medium,2025-07-12
INC0001831,Network outage affecting VPN,Network,Medium,2025-07-12
INC0000342,keyboard hardware malfunction - making unusual noise,Hardware,Medium,2025-07-12
INC0000399,Cannot reset password for corporate email. Authentication access denied,Security,Low,2025-07-12
INC0000570,Database connection pool exhausted for MySQL,Database,Medium,2025-07-12
INC0001390,reporting database database backup very slow. Error: 0x80004005,Database,Low,2025-07-12
INC0000611,VPN very slow when connecting to proxy server,Network,High,2025-07-12
INC0004252,service very slow. Error: access denied (affecting multiple users),Hardware,Medium,2025-07-12
INC0000380,Database query timeout on inventory DB database,Database,High,2025-07-12
INC0000685,Database query timeout on customer DB database (affecting multiple users),Database,Medium,2025-07-12
INC0000234,Cannot reset password for corporate email. Authentication access denied,Security,Low,2025-07-12
INC0004758,Zoom software license malfunctioning,Software,Low,2025-07-12
INC0003631,Cannot connect to VPN. Getting connection refused error,Network,Medium,2025-07-12
INC0002501,Network outage affecting proxy server,Network,Critical,2025-07-12
INC0003587,"Need replacement webcam, current hardware very slow",Hardware,High,2025-07-12
INC0003963,Cannot install Teams application. Error: connection refused,Software,Medium,2025-07-12
INC0001914,system malfunctioning. Error: 500,Security,Medium,2025-07-12
INC0003173,Application Adobe Reader keeps failing after software update,Software,Low,2025-07-12
INC0003895,Slow database query performance on SQL Server,Database,Medium,2025-07-12
INC0002600,Slow database query performance on SQL Server - high priority,Database,Low,2025-07-12
INC0002223,Chrome browser software crashes when saving files,Software,Medium,2025-07-12
INC0004622,hardware device monitor showing timeout,Hardware,Medium,2025-07-12
INC0001467,keyboard hardware malfunction - making unusual noise,Hardware,Medium,2025-07-12
INC0000942,service very slow. Error: 404,Hardware,High,2025-07-12
INC0002193,Application Slack keeps failing after software update,Software,High,2025-07-12
INC0004806,proxy server connectivity issue - 0x80004005,Network,Medium,2025-07-12
INC0001761,VPN unresponsive when connecting to DNS server,Network,Medium,2025-07-12
INC0000356,VPN malfunctioning when connecting to switch,Network,Critical,2025-07-12
INC0001170,Database connection pool exhausted for inventory DB,Database,Medium,2025-07-12
INC0000745,Database connection pool exhausted for SQL Server,Database,Low,2025-07-12
INC0004885,Database query timeout on inventory DB database,Database,Low,2025-07-12
INC0004987,system malfunctioning. Error: 500,Hardware,High,2025-07-12
INC0002765,Database connection pool exhausted for customer DB,Database,Medium,2025-07-12
INC0003283,Adobe Reader software crashes when saving files,Software,Low,2025-07-12
INC0002282,printer not detected by system - URGENT,Hardware,Low,2025-07-12
INC0003541,Unable to access proxy server. Network timeout after 30 seconds,Network,Medium,2025-07-12
INC0004081,VPN unresponsive when connecting to proxy server,Network,Medium,2025-07-12
INC0004697,"Need replacement keyboard, current hardware not working",Hardware,Critical,2025-07-12
INC0002032,laptop hardware malfunction - making unusual noise,Hardware,High,2025-07-12
INC0002283,Cannot install Outlook application. Error: timeout,Software,Medium,2025-07-12
INC0000033,Zoom software performance is very slow,Software,Medium,2025-07-12
INC0002975,Database query timeout on customer DB database,Database,Medium,2025-07-12
INC0001057,"Need replacement keyboard, current hardware unresponsive",Hardware,High,2025-07-12
INC0000295,Database query timeout on MySQL database,Database,Low,2025-07-12
INC0001933,Zoom software performance is malfunctioning,Software,Medium,2025-07-12
INC0002242,scanner hardware malfunction - making unusual noise,Hardware,Medium,2025-07-12
INC0000174,Permission denied accessing admin portal - security restriction,Security,Medium,2025-07-12
INC0003509,system not working. Error: 500 - high priority,Security,Critical,2025-07-12
INC0004934,Permission denied accessing admin portal - security restriction,Security,Low,2025-07-12
INC0002361,firewall connectivity issue - timeout,Network,High,2025-07-12
INC0004673,Software error in Chrome browser: connection refused,Software,Medium,2025-07-12
INC0001842,Hardware device mouse showing 404 (affecting multiple users),Hardware,Medium,2025-07-12
INC0000274,Security alert: breach detected on security system,Security,High,2025-07-12
INC0003933,Software error in Microsoft Office: 500,Software,Low,2025-07-12
INC0002742,Hardware device mouse showing access denied,Hardware,Medium,2025-07-12
INC0001261,VPN very slow when connecting to DNS server,Network,Medium,2025-07-12
INC0003529,service malfunctioning. Error: access denied. Please help,Security,High,2025-07-12
INC0000012,keyboard is unresponsive. Hardware failure error: 500,Hardware,Low,2025-07-12
INC0001276,network connection to vpn is keeps failing,Network,Medium,2025-07-12
INC0001102,Hardware device monitor showing access denied,Hardware,High,2025-07-12
INC0000765,Database corruption in customer DB table,Database,Low,2025-07-12
INC0004663,service very slow. Error: 500,Software,Medium,2025-07-12
INC0000681,VPN not working when connecting to VPN,Network,Critical,2025-07-12
INC0004004,Permission denied accessing user account - security restriction - URGENT,Security,Medium,2025-07-12
INC0001609,Security vulnerability detected in Active Directory,Security,High,2025-07-12
INC0002485,Database connection pool exhausted for reporting database,Database,Medium,2025-07-12
INC0000225,Database connection pool exhausted for customer DB - URGENT,Database,Critical,2025-07-12
INC0000941,switch connectivity issue - access denied - URGENT,Network,Low,2025-07-12
INC0004973,Chrome browser software license unresponsive,Software,Medium,2025-07-12
INC0004963,Zoom software performance is very slow,Software,Low,2025-07-12
INC0002985,Database connection pool exhausted for inventory DB,Database,High,2025-07-12
INC0001275,Database connection pool exhausted for Oracle,Database,Critical,2025-07-12
INC0003562,"Need replacement monitor, current hardware not working",Hardware,Medium,2025-07-12
INC0004250,Oracle database backup unresponsive. Error: null pointer,Database,High,2025-07-12
INC0004786,Network outage affecting VPN,Network,High,2025-07-12
INC0004319,Security vulnerability detected in Active Directory,Security,Low,2025-07-12
INC0001953,server very slow. Error: timeout,Software,Critical,2025-07-12
INC0004851,VPN connectivity issue - connection refused,Network,Medium,2025-07-12
INC0004484,Security vulnerability detected in admin portal,Security,High,2025-07-12
INC0004277,service keeps failing. Error: 500. Please help,Hardware,Critical,2025-07-12
INC0004071,VPN unresponsive when connecting to proxy server,Network,Medium,2025-07-12
INC0003762,webcam hardware malfunction - making unusual noise (affecting multiple users),Hardware,Medium,2025-07-12
INC0000496,Network outage affecting switch,Network,Medium,2025-07-12
INC0004246,switch connectivity issue - null pointer,Network,Critical,2025-07-12
INC0004295,Database query timeout on customer DB database,Database,Low,2025-07-12
INC0003802,monitor not detected by system,Hardware,Medium,2025-07-12
INC0002331,Unable to access DNS server. Network timeout after 300 seconds,Network,High,2025-07-12
INC0000006,Cannot connect to DNS server. Getting 404 error - URGENT,Network,Critical,2025-07-12
INC0003741,Unable to access WiFi. Network timeout after 120 seconds,Network,Low,2025-07-12
INC0002453,Teams software license not working,Software,Low,2025-07-12
INC0001205,SQL Server database backup unresponsive. Error: connection refused (affecting multiple users),Database,High,2025-07-12
INC0003611,VPN unresponsive when connecting to firewall,Network,Low,2025-07-12
INC0004106,Cannot connect to WiFi. Getting access denied error,Network,Critical,2025-07-12
INC0002972,Hardware device webcam showing access denied,Hardware,Medium,2025-07-12
INC0001434,Account locked for security system. Security policy violation,Security,Critical,2025-07-12
INC0001269,Account locked for Active Directory. Security authentication failure,Security,Critical,2025-07-12
INC0000362,Hardware device mouse showing 500,Hardware,Medium,2025-07-12
INC0000746,VPN unresponsive when connecting to switch,Network,Low,2025-07-12
INC0000764,Unauthorized access attempt to admin portal - security breach,Security,High,2025-07-12
INC0003981,system not working. Error: 0x80004005,Network,Low,2025-07-12
INC0000224,security alert: breach detected on user account,Security,Medium,2025-07-12
INC0002565,Slow database query performance on Oracle,Database,Medium,2025-07-12
INC0000718,Adobe Reader software performance is very slow,Software,Medium,2025-07-12
INC0002757,scanner is keeps failing. Hardware failure error: timeout,Hardware,Low,2025-07-12
INC0001305,cannot connect to inventory db database server. 404,Database,Medium,2025-07-12
INC0001525,Cannot connect to Oracle database server. connection refused,Database,Critical,2025-07-12
INC0001365,Cannot connect to Oracle database server. 0x80004005,Database,Medium,2025-07-12
INC0003011,Cannot connect to router. Getting 404 error,Network,Low,2025-07-12
INC0000623,Outlook software license unresponsive,Software,Critical,2025-07-12
INC0001608,system not working. Error: connection refused - high priority,Software,High,2025-07-12
INC0003395,Database query timeout on reporting database database,Database,Medium,2025-07-12
INC0001548,Zoom software license not working (affecting multiple users),Software,Critical,2025-07-12
INC0000884,Account locked for corporate email. Security authentication failure,Security,Medium,2025-07-12
INC0000206,proxy server connectivity issue - null pointer - URGENT,Network,Low,2025-07-12
INC0000641,DNS server connectivity issue - connection refused,Network,Medium,2025-07-12
INC0002314,Account locked for corporate email. Security authentication failure,Security,High,2025-07-12
INC0001568,Software error in Slack: null pointer,Software,High,2025-07-12
INC0001564,Security vulnerability detected in security system,Security,High,2025-07-12
INC0004593,Teams software crashes when saving files - URGENT,Software,Medium,2025-07-12
INC0003583,Software error in Microsoft Office: 0x80004005,Software,Low,2025-07-12
INC0002747,keyboard is unresponsive. Hardware failure error: 404,Hardware,Medium,2025-07-12
INC0002962,Hardware device mouse showing access denied,Hardware,Medium,2025-07-12
INC0002584,system malfunctioning. error: timeout,Security,Medium,2025-07-12
INC0003123,Application Microsoft Office not working after software update,Software,Low,2025-07-12
INC0000164,system very slow. Error: 500,Security,High,2025-07-12
INC0000027,"Need replacement monitor, current hardware not working",Hardware,Medium,2025-07-12
INC0004348,Application Zoom not working after software update,Software,Medium,2025-07-12
INC0002897,"Need replacement webcam, current hardware keeps failing",Hardware,Medium,2025-07-12
INC0004738,Application Chrome browser malfunctioning after software update,Software,Medium,2025-07-12
INC0004986,VPN keeps failing when connecting to DNS server,Network,Medium,2025-07-12
INC0003719,Account locked for Active Directory. Security authentication failure (affecting multiple users),Security,Medium,2025-07-12
INC0004554,Security vulnerability detected in user account,Security,Medium,2025-07-12
INC0004793,Adobe Reader software license unresponsive,Software,High,2025-07-12
INC0004535,Database corruption in inventory DB table,Database,High,2025-07-12
INC0000285,Database connection pool exhausted for reporting database,Database,Low,2025-07-12
INC0004969,Permission denied accessing user account - security restriction,Security,Medium,2025-07-12
INC0000125,Database query timeout on MySQL database - high priority,Database,Critical,2025-07-12
INC0002205,Cannot connect to reporting database database server. 500,Database,Medium,2025-07-12
INC0004096,Unable to access switch. Network timeout after 30 seconds,Network,Low,2025-07-12
INC0004299,Security alert: policy violation on admin portal,Security,Critical,2025-07-12
INC0004872,Hardware device keyboard showing connection refused,Hardware,Medium,2025-07-12
INC0001750,Cannot connect to MySQL database server. 404,Database,Medium,2025-07-12
INC0004772,Physical issue with printer - malfunctioning,Hardware,High,2025-07-12
INC0003624,server malfunctioning. Error: timeout,Security,Medium,2025-07-12
INC0004596,Network connection to switch is malfunctioning - high priority,Network,Critical,2025-07-12
INC0000507,keyboard is very slow. Hardware failure error: 500,Hardware,Medium,2025-07-12
INC0001042,server not working. Error: access denied. Please help,Hardware,Low,2025-07-12
INC0001095,Cannot connect to MySQL database server. 500,Database,Low,2025-07-12
INC0002876,WiFi connectivity issue - null pointer,Network,Medium,2025-07-12
INC0001230,Cannot connect to MySQL database server. 0x80004005,Database,High,2025-07-12
INC0004123,Chrome browser software crashes when opening documents - URGENT,Software,Low,2025-07-12
INC0002216,Unable to access proxy server. Network timeout after 60 seconds (affecting multiple users),Network,Low,2025-07-12
INC0002547,Physical issue with monitor - unresponsive,Hardware,Medium,2025-07-12
INC0003370,Slow database query performance on reporting database,Database,Low,2025-07-12
INC0000600,Oracle database backup keeps failing. Error: access denied,Database,Low,2025-07-12
INC0000400,Slow database query performance on reporting database,Database,High,2025-07-12
INC0003785,Slow database query performance on reporting database,Database,Low,2025-07-12
INC0003554,Permission denied accessing security system - security restriction,Security,High,2025-07-12
INC0002868,Application Chrome browser not working after software update (affecting multiple users),Software,High,2025-07-12
INC0000061,Cannot connect to router. Getting 404 error,Network,Medium,2025-07-12
INC0000076,Network outage affecting WiFi,Network,Low,2025-07-12
INC0002095,Slow database query performance on inventory DB,Database,Medium,2025-07-12
INC0004993,Software error in Teams: connection refused,Software,Critical,2025-07-12
INC0003318,Cannot install Outlook application. Error: 0x80004005,Software,High,2025-07-12
INC0001167,mouse not detected by system,Hardware,Medium,2025-07-12
INC0001635,Database corruption in customer DB table,Database,Medium,2025-07-12
INC0001510,Database connection pool exhausted for MySQL,Database,Low,2025-07-12
INC0000332,keyboard not detected by system,Hardware,Low,2025-07-12
INC0002174,Unauthorized access attempt to admin portal - security breach,Security,High,2025-07-12
INC0001023,Cannot install Outlook application. Error: 500,Software,Medium,2025-07-12
INC0000542,mouse not detected by system,Hardware,Low,2025-07-12
INC0001655,slow database query performance on oracle,Database,Medium,2025-07-12
INC0001037,mouse hardware malfunction - making unusual noise,Hardware,Medium,2025-07-12
INC0001084,Account locked for security system. Security authentication failure,Security,High,2025-07-12
INC0003026,router connectivity issue - access denied,Network,Medium,2025-07-12
INC0001137,Physical issue with monitor - unresponsive,Hardware,Medium,2025-07-12
INC0003684,Permission denied accessing Active Directory - security restriction,Security,Medium,2025-07-12
INC0004354,Account locked for corporate email. Security policy violation,Security,Low,2025-07-12
INC0000931,Unable to access DNS server. Network timeout after 300 seconds,Network,Low,2025-07-12
INC0003383,Zoom software license very slow,Software,Medium,2025-07-12
INC0001811,Unable to access firewall. Network timeout after 30 seconds,Network,Medium,2025-07-12
INC0000423,Adobe Reader software crashes when saving files,Software,High,2025-07-12
INC0002436,proxy server connectivity issue - null pointer,Network,Medium,2025-07-12
INC0000438,Chrome browser software license malfunctioning,Software,Medium,2025-07-12
INC0002232,webcam is keeps failing. Hardware failure error: 500,Hardware,High,2025-07-12
INC0003724,Cannot reset password for admin portal. Authentication 404,Security,Low,2025-07-12
INC0004485,Database corruption in reporting database table,Database,Medium,2025-07-12
INC0004634,Unauthorized access attempt to Active Directory - security breach,Security,Low,2025-07-12
INC0001777,laptop is not working. Hardware failure error: access denied,Hardware,Low,2025-07-12
INC0000178,service very slow. Error: 500,Software,Low,2025-07-12
INC0003804,Security alert: policy violation on security system,Security,Medium,2025-07-12
INC0000066,VPN unresponsive when connecting to WiFi,Network,Low,2025-07-12
INC0000331,Unable to access WiFi. Network timeout after 30 seconds,Network,Low,2025-07-12
INC0001285,Slow database query performance on MySQL,Database,Medium,2025-07-12
INC0002782,service keeps failing. Error: connection refused,Hardware,High,2025-07-12
INC0000336,DNS server connectivity issue - 0x80004005,Network,Medium,2025-07-12
INC0003200,Cannot connect to customer DB database server. timeout,Database,Critical,2025-07-12
INC0001277,webcam is not working. Hardware failure error: connection refused,Hardware,Medium,2025-07-12
INC0002462,"Need replacement keyboard, current hardware keeps failing",Hardware,High,2025-07-12
INC0004844,Cannot reset password for Active Directory. Authentication 500,Security,Low,2025-07-12
INC0002495,Slow database query performance on SQL Server,Database,Low,2025-07-12
INC0001454,Cannot reset password for Active Directory. Authentication access denied,Security,High,2025-07-12
INC0004248,cannot install teams application. error: timeout,Software,Medium,2025-07-12
INC0004702,keyboard hardware malfunction - making unusual noise,Hardware,High,2025-07-12
INC0003484,Security vulnerability detected in security system,Security,Low,2025-07-12
INC0003943,Cannot install Slack application. Error: connection refused,Software,Low,2025-07-12
INC0001937,Hardware device printer showing timeout,Hardware,High,2025-07-12
INC0003518,Software error in Teams: 0x80004005,Software,Medium,2025-07-12
INC0000785,server not working. Error: 404 - high priority,Database,Critical,2025-07-12
INC0002545,Cannot connect to customer DB database server. timeout,Database,Low,2025-07-12
INC0004165,Database query timeout on inventory DB database,Database,Medium,2025-07-12
INC0000609,Security alert: breach detected on Active Directory,Security,High,2025-07-12
INC0000363,Software error in Zoom: 0x80004005,Software,Critical,2025-07-12
INC0001817,mouse not detected by system,Hardware,Medium,2025-07-12
INC0004287,printer is unresponsive. Hardware failure error: 404,Hardware,Critical,2025-07-12
INC0002224,Permission denied accessing corporate email - security restriction,Security,Low,2025-07-12
INC0000722,"Need replacement laptop, current hardware very slow",Hardware,Critical,2025-07-12
INC0004132,monitor is malfunctioning. Hardware failure error: access denied,Hardware,Medium,2025-07-12
INC0001357,Physical issue with mouse - keeps failing,Hardware,Medium,2025-07-12
INC0002806,Unable to access proxy server. Network timeout after 60 seconds,Network,Medium,2025-07-12
INC0003296,VPN keeps failing when connecting to router,Network,High,2025-07-12
INC0003351,server very slow. Error: access denied,Network,Low,2025-07-12
INC0003133,slack software crashes when saving files,Software,Low,2025-07-12
INC0002719,Permission denied accessing corporate email - security restriction,Security,Critical,2025-07-12
INC0004560,Database corruption in SQL Server table,Database,Low,2025-07-12
INC0001315,Database connection pool exhausted for inventory DB,Database,High,2025-07-12
INC0000755,Database query timeout on Oracle database,Database,Critical,2025-07-12
INC0000064,Unauthorized access attempt to admin portal - security breach,Security,Low,2025-07-12
INC0003418,Adobe Reader software performance is very slow,Software,High,2025-07-12
INC0001944,Cannot reset password for admin portal. Authentication access denied - high priority,Security,Medium,2025-07-12
INC0001406,Cannot connect to DNS server. Getting access denied error,Network,Medium,2025-07-12
INC0003563,software error in outlook: 404,Software,High,2025-07-12
INC0000159,Permission denied accessing user account - security restriction,Security,Critical,2025-07-12
INC0003400,Database query timeout on inventory DB database,Database,Low,2025-07-12
INC0003829,server unresponsive. Error: 404,Security,Low,2025-07-12
INC0000427,Hardware device monitor showing access denied (affecting multiple users),Hardware,High,2025-07-12
INC0001951,proxy server connectivity issue - 0x80004005 - URGENT,Network,Low,2025-07-12
INC0001065,Slow database query performance on SQL Server,Database,High,2025-07-12
INC0003428,Chrome browser software crashes when loading data,Software,Low,2025-07-12
INC0002166,Network outage affecting DNS server,Network,High,2025-07-12
INC0000693,system malfunctioning. Error: 0x80004005. Please help,Software,Medium,2025-07-12
INC0004763,Slack software crashes when opening documents,Software,Medium,2025-07-12
INC0004494,Cannot reset password for security system. Authentication 0x80004005,Security,Low,2025-07-12
INC0000803,Software error in Microsoft Office: 500,Software,Critical,2025-07-12
INC0002980,Database corruption in reporting database table,Database,Medium,2025-07-12
INC0001794,Security vulnerability detected in security system,Security,Medium,2025-07-12
INC0002681,Unable to access switch. Network timeout after 120 seconds,Network,Medium,2025-07-12
INC0001219,Security vulnerability detected in corporate email,Security,Low,2025-07-12
INC0004016,VPN keeps failing when connecting to VPN,Network,Medium,2025-07-12
INC0002506,service very slow. Error: null pointer,Network,Critical,2025-07-12
INC0000726,Network outage affecting switch,Network,High,2025-07-12
INC0001990,Cannot connect to reporting database database server. 0x80004005,Database,Medium,2025-07-12
INC0002080,Slow database query performance on inventory DB,Database,Low,2025-07-12
INC0003627,keyboard not detected by system,Hardware,Low,2025-07-12
